# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    41     5
    1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     6     1
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     2
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     8    18
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     4     0
    1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     3
    0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    34     4
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     5
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5     2
    1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     5     2
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5    19
    1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     3    20
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0    34     1
    0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     4
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     3
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     3     2
    1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     2
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5     3
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     0
    0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     5     6
    0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     5
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     2
    0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     4
