#Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 10:05:32      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:05:32      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     3
 10:05:34      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     2     3
 10:05:34      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     2
 10:05:35      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5     3
 10:05:35      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     0
 10:05:36      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:05:36      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     7     0
 10:05:37      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:05:37      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 10:05:39      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     8    17
 10:05:39      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:05:40      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    10     3
 10:05:40      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 10:05:41      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:05:41      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 10:05:42      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:05:42      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     7     1
 10:05:44      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     4     1
 10:05:44      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     8     1
 10:05:45      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     6     1
 10:05:45      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     1     4
 10:05:46      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 10:05:46      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     2
#Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 10:05:47      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     3     5
 10:05:47      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     1     3
 10:05:49      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1     4
 10:05:49      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     1     4
 10:05:50      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     2     3
 10:05:50      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     4
 10:05:51      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1     2
 10:05:51      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     5     5
 10:05:52      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 10:05:52      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 10:05:53      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    36     2
 10:05:53      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:05:55      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5     2
 10:05:55      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     1
 10:05:56      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 10:05:56      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     4
 10:05:57      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    41     3
 10:05:57      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 10:05:58      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 10:05:58      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:05:59      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 10:05:59      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     3
 10:06:01      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:06:01      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     8     1
 10:06:02      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 10:06:02      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     1
 10:06:03      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5     0
 10:06:03      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     1
 10:06:05      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1     1
 10:06:05      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 10:06:06      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     4     0
 10:06:06      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:07      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    38     0
 10:06:07      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:08      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:06:08      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 10:06:09      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     7    18
 10:06:09      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:11      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1     1
 10:06:11      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     3
 10:06:12      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:06:12      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     3
