#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20231204   10:06:26      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:28      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 20231204   10:06:28      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     6
 20231204   10:06:29      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1     0
 20231204   10:06:29      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     3
 20231204   10:06:30      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     4     3
 20231204   10:06:30      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:31      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1     1
 20231204   10:06:31      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 20231204   10:06:32      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5     0
 20231204   10:06:32      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:34      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     4     0
 20231204   10:06:34      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 20231204   10:06:35      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:06:35      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:36      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5    21
 20231204   10:06:36      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:37      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1     3
 20231204   10:06:37      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:38      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0    22
 20231204   10:06:38      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:40      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:06:40      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 20231204   10:06:41      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     2     6
 20231204   10:06:41      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:42      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:06:42      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:43      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:06:43      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     0
#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20231204   10:06:45      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204   10:06:45      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:46      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     2    20
 20231204   10:06:46      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
